,Grade Average 7,Grade Average 8,Math_7_score,ELA_7_score,Math_8_score,ELA_8_score,Absent Grade 7,Tardy Grade 7,Absent Grade 8,Tardy Grade 8,Gender,Comment_1,Comment_2,Comment_3,Comment_4,Comment_5,Comment_6,Comment_7,Comment_8,target,Absent Total,Tardy Total,Average Grade MS,Average Math Score,Average ELA Score,Num of Above Average Comments,Num of Meets Acceptable Comments,Num of Incomplete Work Comments,Num of Outstanding Effort Comments,Num of Unprepared for Class Comments,Num of Inattentive in Class Comments,Num of Poor Tests Comments,Num of Conscientious Comments,Num of Improvement Noted Comments,Num of Imcomplete Homework Comments,Num of Parent Conference Requested Comments,Num of Poor Class Attendance Comments,Num of Excessive Lateness Comments
204,83,87,3,5,4,4,6,1,6,0,'F','Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--', No Comment ,'Demonstrates outstanding effort--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'",1,12,1,85.0,3.5,4.5,1,2,0,3,0,0,0,0,0,0,0,0,0
205,85,89,4,5,5,5,6,3,9,8,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--',"'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,15,11,87.0,4.5,5.0,1,3,0,1,0,0,0,2,0,0,0,0,0
206,88,88,4,5,4,4,3,0,1,1,'M','Demonstrates outstanding effort--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",1,4,1,88.0,4.0,4.5,2,3,0,1,0,0,0,0,0,0,0,0,0
207,84,86,4,4,4,4,3,1,5,1,'M','Parent conference requested--', No Comment ,'Need put more effort for Chinese','Owes work due to absences --', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--','Demonstrates outstanding effort--',1,8,2,85.0,4.0,4.0,0,1,0,1,0,0,0,1,0,0,1,0,0
208,74,79,3,3,4,4,4,0,3,0,'F','Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--',"'Demonstrates above average ability, motivation and attitude in this class--'",1,7,0,76.5,3.5,3.5,1,3,0,3,0,0,0,0,0,0,0,0,0
209,89,88,5,5,5,5,6,3,4,4,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",1,10,7,88.5,5.0,5.0,1,5,0,1,0,0,0,0,0,0,0,0,0
210,86,88,3,4,4,4,3,0,3,1,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--', No Comment ,'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'",1,6,1,87.0,3.5,4.0,1,3,0,0,0,0,0,2,0,0,0,0,0
211,89,88,4,5,5,5,2,0,6,0,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,8,0,88.5,4.5,5.0,1,4,0,1,0,0,0,0,0,0,0,0,0
212,84,87,4,4,4,4,1,0,2,1,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--','Demonstrates outstanding effort--', No Comment , No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Need put more effort for Chinese',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,3,1,85.5,4.0,4.0,0,3,0,1,0,0,0,1,0,0,0,0,0
213,84,88,4,5,4,5,0,0,5,3,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'",'Excessive lateness--',1,5,3,86.0,4.0,5.0,2,4,0,0,0,0,0,0,0,0,0,0,1
214,79,82,3,4,2,3,7,1,5,1,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Improvement noted--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'",1,12,2,80.5,2.5,3.5,1,4,0,0,0,0,0,0,1,0,0,0,0
215,82,82,0,0,2,2,0,2,1,6,'F','Poor test scores--','Parent conference requested--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--', No Comment ,'Good work. Satisfactory',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",1,1,8,82.0,1.0,1.0,0,3,0,0,0,0,1,1,0,0,1,0,0
216,86,88,4,5,4,5,1,1,9,3,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'",1,10,4,87.0,4.0,5.0,2,5,0,0,0,0,0,0,0,0,0,0,0
217,80,87,4,4,4,5,0,0,2,1,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--', No Comment ,'Demonstrates outstanding effort--',"'Demonstrates above average ability, motivation and attitude in this class--'","'Demonstrates above average ability, motivation, and attitude in this class--'","'Demonstrates above average ability, motivation and attitude in this class--'",1,2,1,83.5,4.0,4.5,2,2,0,2,0,0,0,0,0,0,0,0,0
218,74,77,4,4,3,3,4,0,14,6,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete homework--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Student can show more effort.- Estudiante puede mostrar mejor esfuerzo.', No Comment ,0,18,6,75.5,3.5,3.5,0,3,0,0,0,0,0,0,0,1,0,0,0
219,73,77,2,3,0,0,14,0,7,7,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Inattentiveness in class--','Unprepared for class--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete work--','Incomplete work--','Conscientious about classroom responsibilities--',0,21,7,75.0,1.0,1.5,0,2,2,0,1,1,0,1,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Improvement noted--','Unprepared for class--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Poor test scores--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",0,0,0,0.0,0.0,0.0,0,4,0,0,1,0,1,0,1,0,0,0,0
221,81,86,3,4,3,5,7,0,10,3,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--',0,17,3,83.5,3.0,4.5,0,6,0,1,0,0,0,0,0,0,0,0,0
222,66,68,2,2,1,2,3,3,10,4,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete homework--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Inattentiveness in class--','Student needs extra help both in content and time management. Tutoring is offered after school and my door is always opened to help. Please reach out to me if you have specific questions about Student to Teacher Email.us.-- Student necesita ayuda adicional tanto en el contenido como en la gestión del tiempo. Se ofrece tutoría después de la escuela y mi puerta siempre está abierta para ayudar. Comuníquese conmigo si tiene preguntas específicas sobre Student a Teacher Email.us.', No Comment ,0,13,7,67.0,1.5,2.0,0,3,0,0,0,1,0,0,0,1,0,0,0
223,76,82,3,4,4,3,7,1,1,0,'F','Conscientious about classroom responsibilities--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,8,1,79.0,3.5,3.5,1,4,0,0,0,0,0,1,0,0,0,0,0
224,81,79,1,1,2,1,2,2,6,9,'M','Unprepared for class--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Poor class attendance--','Improvement noted--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Parent conference requested--',0,8,11,80.0,1.5,1.0,0,3,0,0,1,0,0,0,1,0,1,1,0
225,80,74,3,4,3,3,5,0,15,1,'M','Inattentiveness in class--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Inattentiveness in class--', No Comment ,'Incomplete homework--', No Comment ,'Improvement noted--', No Comment ,0,20,1,77.0,3.0,3.5,0,1,0,0,0,2,0,0,1,1,0,0,0
226,76,79,2,2,2,3,2,0,0,1,'M', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - Reune aceptables normas de cooperation, trabajo, aptitud y esfuerzo.'","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Inattentiveness in class--', No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'",'Incomplete work--IXL',"'Meets acceptable standards of cooperation, work, attitude and effort - '",0,2,1,77.5,2.0,2.5,1,3,1,0,0,1,0,0,0,0,0,0,0
227,81,87,4,4,4,4,9,0,5,0,'M',"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'",0,14,0,84.0,4.0,4.0,2,5,0,0,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0,'F','Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,0,0,0,0.0,0.0,0.0,0,4,0,1,0,0,0,1,0,0,0,0,0
229,0,75,0,0,3,0,0,0,1,3,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - Reune aceptables normas de cooperation, trabajo, aptitud y esfuerzo.'","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Incomplete work--','Poor test scores--','Conscientious about classroom responsibilities--', No Comment ,0,1,3,37.5,1.5,0.0,0,3,1,0,0,0,1,1,0,0,0,0,0
230,80,84,3,4,3,3,0,1,0,0,'F','Poor test scores--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'I',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,0,1,82.0,3.0,3.5,0,4,0,0,0,0,1,0,0,0,0,0,0
231,82,80,0,0,0,0,9,0,15,0,'F','Unprepared for class--', No Comment ,'Improvement noted--','Unprepared for class--', No Comment ,'Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort -'",'Improvement noted--',0,24,0,81.0,0.0,0.0,0,1,0,1,2,0,0,0,2,0,0,0,0
232,72,74,2,1,1,2,5,0,13,4,'M','Poor test scores--','Parent conference requested--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Incomplete work. A missing project- El folleto turístico.',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - Reune aceptables normas de cooperation, trabajo, aptitud y esfuerzo.'",'Conscientious about classroom responsibilities--',0,18,4,73.0,1.5,1.5,0,3,1,0,0,0,1,1,0,0,1,0,0
233,71,77,2,1,2,1,7,0,2,6,'M','Poor test scores--','Improvement noted--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Poor test scores--', No Comment ,'Incomplete work/homework/ projects--', No Comment ,0,9,6,74.0,2.0,1.0,0,1,1,0,0,0,2,0,1,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--', No Comment , No Comment , No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,0,0,0.0,0.0,0.0,1,3,0,1,0,0,0,0,0,0,0,0,0
235,83,83,4,4,4,5,5,0,6,1,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment ,'Unprepared for class--',"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,11,1,83.0,4.0,4.5,1,4,0,0,1,0,0,0,0,0,0,0,0
236,84,85,2,3,4,2,1,2,1,12,'F','Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,0,2,14,84.5,3.0,2.5,0,3,0,0,0,0,0,2,0,0,0,0,0
237,78,82,3,5,4,5,4,0,3,13,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Poor test scores--','Unprepared for class--',"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment ,0,7,13,80.0,3.5,5.0,1,3,0,0,1,0,1,0,0,0,0,0,0
238,0,82,0,0,1,0,0,0,1,0,'M','Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - Reune aceptables normas de cooperation, trabajo, aptitud y esfuerzo.'", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,0,1,0,41.0,0.5,0.0,0,5,0,0,0,0,0,1,0,0,0,0,0
239,70,79,4,3,4,4,9,2,5,1,'M','Parent conference requested--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment ,'Incomplete homework--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,0,14,3,74.5,4.0,3.5,0,3,0,0,0,0,0,0,0,1,1,0,0
240,79,73,4,4,3,3,1,1,0,5,'M','Unprepared for class--','Poor test scores--','Incomplete work--', No Comment ,'Incomplete homework--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--', No Comment ,0,1,6,76.0,3.5,3.5,0,1,1,0,1,0,1,1,0,1,0,0,0
241,87,87,2,3,3,4,2,1,1,3,'F',"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'",'Incomplete work--IXL',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,0,3,4,87.0,2.5,3.5,2,3,1,0,0,0,0,0,0,0,0,0,0
242,83,83,3,4,4,5,3,0,2,0,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Needs to participate more in class', No Comment , No Comment , No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,5,0,83.0,3.5,4.5,1,3,0,0,0,0,0,0,0,0,0,0,0
243,83,82,4,4,2,3,7,1,11,5,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Can do better','Parent conference requested--', No Comment ,'Incomplete work--',0,18,6,82.5,3.0,3.5,0,2,1,1,0,0,0,0,0,0,1,0,0
244,82,83,4,4,4,5,7,0,5,1,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Poor test scores--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",0,12,1,82.5,4.0,4.5,0,5,0,0,0,0,1,0,0,0,0,0,0
245,79,78,2,3,2,3,10,0,25,3,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Poor test scores--', No Comment ,'Incomplete homework--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Unprepared for class--',0,35,3,78.5,2.0,3.0,0,3,0,0,1,0,1,0,0,1,0,0,0
246,74,76,2,3,1,1,21,1,30,7,'M','Needs to catch up with the work.', No Comment ,'Unprepared for class--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Incomplete work--','Poor test scores--',0,51,8,75.0,1.5,2.0,0,1,1,0,1,0,1,0,0,0,0,0,0
247,81,88,4,5,4,5,3,0,6,2,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,9,2,84.5,4.0,5.0,1,6,0,0,0,0,0,0,0,0,0,0,0
248,77,80,0,0,3,1,1,0,2,1,'M', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Unprepared for class--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'",0,3,1,78.5,1.5,0.5,2,3,0,0,1,0,0,0,0,0,0,0,0
249,86,84,2,4,3,4,1,1,3,5,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Poor test scores--',0,4,6,85.0,2.5,4.0,1,4,0,0,0,0,1,0,0,0,0,0,0
250,75,82,4,4,4,4,10,0,1,1,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete homework--','Incomplete homework--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,0,11,1,78.5,4.0,4.0,1,3,0,0,0,0,0,0,0,2,0,0,0
251,70,78,2,3,2,3,6,1,5,17,'F','Improvement noted', No Comment ,'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete work--', No Comment ,'Unprepared for class--','Improvement noted--',0,11,18,74.0,2.0,3.0,0,1,1,0,1,0,0,1,2,0,0,0,0
252,83,86,3,4,4,4,5,1,7,13,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Can do better',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",0,12,14,84.5,3.5,4.0,0,5,0,0,0,0,0,0,0,0,0,0,0
253,79,80,3,3,3,3,2,0,4,2,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete work--','Poor test scores--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,0,6,2,79.5,3.0,3.0,1,3,1,0,0,0,1,0,0,0,0,0,0
254,73,64,2,3,0,0,5,1,4,20,'M', No Comment , No Comment , No Comment , No Comment , No Comment , No Comment , No Comment , No Comment ,0,9,21,68.5,1.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
255,78,76,2,2,2,2,9,0,5,4,'F','Incomplete work--','Poor test scores--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Poor test scores--','Student can show more effort.- Estudiante puede mostrar mejor esfuerzo.','Inattentiveness in class--',0,14,4,77.0,2.0,2.0,0,2,1,0,0,1,2,0,0,0,0,0,0
256,84,86,4,5,4,4,5,1,10,17,'F',"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete homework--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment ,0,15,18,85.0,4.0,4.5,1,4,0,0,0,0,0,0,0,1,0,0,0
257,0,0,0,0,0,0,0,0,0,0,'F','Improvement noted--','Demonstrates outstanding effort--','Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - Reune aceptables normas de cooperation, trabajo, aptitud y esfuerzo.'", No Comment ,'Incomplete homework--', No Comment ,0,0,0,0.0,0.0,0.0,0,2,0,1,0,0,0,1,1,1,0,0,0
258,78,78,3,3,3,3,9,2,1,24,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Incomplete work--', No Comment ,'Poor test scores--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",0,10,26,78.0,3.0,3.0,0,4,1,0,0,0,1,0,0,0,0,0,0
259,74,80,2,2,0,0,6,11,12,18,'M','Incomplete homework--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Poor class attendance--','Unprepared for class--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Unprepared for class--','Unprepared for class--',0,18,29,77.0,1.0,1.0,0,2,0,0,3,0,0,0,0,1,0,1,0
260,0,77,0,0,0,0,0,0,2,3,'M', No Comment , No Comment , No Comment , No Comment , No Comment , No Comment , No Comment , No Comment ,0,2,3,38.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,78,79,3,4,2,4,2,0,1,2,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete homework--','Needs to stop chatting with Student and focus on his work', No Comment ,0,3,2,78.5,2.5,4.0,0,3,0,0,0,0,0,1,0,1,0,0,0
262,76,76,4,5,4,5,14,6,9,5,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Demonstrates outstanding effort--', No Comment ,'Incomplete homework--','Incomplete work--','Improvement noted--','Parent conference requested--',0,23,11,76.0,4.0,5.0,0,1,1,1,0,0,0,0,1,1,1,0,0
263,72,74,2,1,2,1,7,2,6,1,'M', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - Reune aceptables normas de cooperation, trabajo, aptitud y esfuerzo.'",'Conscientious about classroom responsibilities--', No Comment ,'Demonstrates outstanding effort--','Poor test scores--',"'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,0,13,3,73.0,2.0,1.0,1,1,0,1,0,0,1,1,0,0,0,0,0
264,83,83,2,2,1,2,9,2,6,3,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - Reune aceptables normas de cooperation, trabajo, aptitud y esfuerzo.'", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Poor test scores--', No Comment ,0,15,5,83.0,1.5,2.0,0,5,0,0,0,0,1,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - Reune aceptables normas de cooperation, trabajo, aptitud y esfuerzo.'",'Demonstrates outstanding effort--','Conscientious about classroom responsibilities--', No Comment ,0,0,0,0.0,0.0,0.0,0,3,0,1,0,0,0,2,0,0,0,0,0
266,75,71,2,3,0,0,13,0,21,19,'M','Inattentiveness in class--','Inattentiveness in class--','Incomplete homework--','Inattentiveness in class--', No Comment ,'Unprepared for class--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,34,19,73.0,1.0,1.5,0,2,0,0,1,3,0,0,0,1,0,0,0
267,82,88,4,4,4,4,0,0,0,1,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Improvement noted--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Unprepared for class--',0,0,1,85.0,4.0,4.0,0,5,0,0,1,0,0,0,1,0,0,0,0
