,Grade Average 7,Grade Average 8,Math_7_score,ELA_7_score,Math_8_score,ELA_8_score,Absent Grade 7,Tardy Grade 7,Absent Grade 8,Tardy Grade 8,Gender,target,Absent Total,Tardy Total,Average Grade MS,Average Math Score,Average ELA Score,Num of Above Average Comments,Num of Meets Acceptable Comments,Num of Incomplete Work Comments,Num of Outstanding Effort Comments,Num of Unprepared for Class Comments,Num of Inattentive in Class Comments,Num of Poor Tests Comments,Num of Conscientious Comments,Num of Improvement Noted Comments,Num of Imcomplete Homework Comments,Num of Parent Conference Requested Comments,Num of Poor Class Attendance Comments,Num of Excessive Lateness Comments,Comments
217,80,87,4,4,4,5,0,0,2,1,'M',1,2,1,83.5,4.0,4.5,2,2,0,2,0,0,0,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates outstanding effort. No Comment .'Demonstrates outstanding effort.'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates above average ability, motivation, and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort ."
218,74,77,4,4,3,3,4,0,14,6,'F',0,18,6,75.5,3.5,3.5,0,3,0,0,0,0,0,0,0,1,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Incomplete homework. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Student can show more effort..'Meets acceptable standards of cooperation, work, attitude and effort ."
219,73,77,2,3,0,0,14,0,7,7,'M',0,21,7,75.0,1.0,1.5,0,2,2,0,1,1,0,1,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Inattentiveness in class.'Unprepared for class. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Incomplete work.'Incomplete work.'Meets acceptable standards of cooperation, work, attitude and effort ."
220,0,0,0,0,0,0,0,0,0,0,'F',0,0,0,0.0,0.0,0.0,0,4,0,0,1,0,1,0,1,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Improvement noted.'Unprepared for class.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Poor test scores.'Meets acceptable standards of cooperation, work, attitude and effort ."
221,81,86,3,4,3,5,7,0,10,3,'F',0,17,3,83.5,3.0,4.5,0,6,0,1,0,0,0,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort ."
222,66,68,2,2,1,2,3,3,10,4,'M',0,13,7,67.0,1.5,2.0,0,3,0,0,0,1,0,0,0,1,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Incomplete homework.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Inattentiveness in class.'Student needs extra help both in content and time management. Tutoring is offered after school and my door is always opened to help. Please reach out to me if you have specific questions about Student to Teacher Email.us..'Meets acceptable standards of cooperation, work, attitude and effort ."
223,76,82,3,4,4,3,7,1,1,0,'F',0,8,1,79.0,3.5,3.5,1,4,0,0,0,0,0,1,0,0,0,0,0,"'Conscientious about classroom responsibilities. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Conscientious about classroom responsibilities."
224,81,79,1,1,2,1,2,2,6,9,'M',0,8,11,80.0,1.5,1.0,0,3,0,0,1,0,0,0,1,0,1,1,0,"'Unprepared for class.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Poor class attendance.'Improvement noted. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Unprepared for class."
225,80,74,3,4,3,3,5,0,15,1,'M',0,20,1,77.0,3.0,3.5,0,1,0,0,0,2,0,0,1,1,0,0,0,"'Inattentiveness in class.'Meets acceptable standards of cooperation, work, attitude and effort .'Inattentiveness in class. No Comment .'Incomplete homework. No Comment .'Improvement noted.'Inattentiveness in class."
226,76,79,2,2,2,3,2,0,0,1,'M',0,2,1,77.5,2.0,2.5,1,3,1,0,0,1,0,0,0,0,0,0,0," No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Inattentiveness in class. No Comment .'Demonstrates above average ability, motivation and attitude in this class.'Incomplete work. No Comment ."
227,81,87,4,4,4,4,9,0,5,0,'M',0,14,0,84.0,4.0,4.0,2,5,0,0,0,0,0,0,0,0,0,0,0,"'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class."
228,0,0,0,0,0,0,0,0,0,0,'F',0,0,0,0.0,0.0,0.0,0,4,0,1,0,0,0,1,0,0,0,0,0,"'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates outstanding effort.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities."
229,0,75,0,0,3,0,0,0,1,3,'M',0,1,3,37.5,1.5,0.0,0,3,1,0,0,0,1,1,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Incomplete work.'Poor test scores.'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort ."
230,80,84,3,4,3,3,0,1,0,0,'F',0,0,1,82.0,3.0,3.5,0,4,0,0,0,0,1,0,0,0,0,0,0,"'Poor test scores. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'I'.'Meets acceptable standards of cooperation, work, attitude and effort .'Poor test scores."
231,82,80,0,0,0,0,9,0,15,0,'F',0,24,0,81.0,0.0,0.0,0,1,0,1,2,0,0,0,2,0,0,0,0,"'Unprepared for class. No Comment .'Improvement noted.'Unprepared for class. No Comment .'Demonstrates outstanding effort.'Meets acceptable standards of cooperation, work, attitude and effort .'Unprepared for class."
232,72,74,2,1,1,2,5,0,13,4,'M',0,18,4,73.0,1.5,1.5,0,3,1,0,0,0,1,1,0,0,1,0,0,"'Poor test scores.'Parent conference requested.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Incomplete work. A missing project.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Poor test scores."
233,71,77,2,1,2,1,7,0,2,6,'M',0,9,6,74.0,2.0,1.0,0,1,1,0,0,0,2,0,1,0,0,0,0,"'Poor test scores.'Improvement noted. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Poor test scores. No Comment .'Incomplete work/homework/ projects.'Poor test scores."
234,0,0,0,0,0,0,0,0,0,0,'M',0,0,0,0.0,0.0,0.0,1,3,0,1,0,0,0,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates outstanding effort. No Comment . No Comment . No Comment .'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort ."
235,83,83,4,4,4,5,5,0,6,1,'F',0,11,1,83.0,4.0,4.5,1,4,0,0,1,0,0,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment . No Comment .'Unprepared for class.'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort ."
236,84,85,2,3,4,2,1,2,1,12,'F',0,2,14,84.5,3.0,2.5,0,3,0,0,0,0,0,2,0,0,0,0,0,"'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities."
237,78,82,3,5,4,5,4,0,3,13,'F',0,7,13,80.0,3.5,5.0,1,3,0,0,1,0,1,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Poor test scores.'Unprepared for class.'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort ."
238,0,82,0,0,1,0,0,0,1,0,'M',0,1,0,41.0,0.5,0.0,0,5,0,0,0,0,0,1,0,0,0,0,0,"'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities."
239,70,79,4,3,4,4,9,2,5,1,'M',0,14,3,74.5,4.0,3.5,0,3,0,0,0,0,0,0,0,1,1,0,0,"'Parent conference requested.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment . No Comment .'Incomplete homework.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Parent conference requested."
240,79,73,4,4,3,3,1,1,0,5,'M',0,1,6,76.0,3.5,3.5,0,1,1,0,1,0,1,1,0,1,0,0,0,"'Unprepared for class.'Poor test scores.'Incomplete work. No Comment .'Incomplete homework.'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities.'Unprepared for class."
241,87,87,2,3,3,4,2,1,1,3,'F',0,3,4,87.0,2.5,3.5,2,3,1,0,0,0,0,0,0,0,0,0,0,"'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates above average ability, motivation and attitude in this class.'Incomplete work.'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class."
242,83,83,3,4,4,5,3,0,2,0,'M',0,5,0,83.0,3.5,4.5,1,3,0,0,0,0,0,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Needs to participate more in class'. No Comment . No Comment . No Comment .'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort ."
243,83,82,4,4,2,3,7,1,11,5,'F',0,18,6,82.5,3.0,3.5,0,2,1,1,0,0,0,0,0,0,1,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates outstanding effort.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Can do better'.'Parent conference requested. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort ."
244,82,83,4,4,4,5,7,0,5,1,'F',0,12,1,82.5,4.0,4.5,0,5,0,0,0,0,1,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Poor test scores.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort ."
245,79,78,2,3,2,3,10,0,25,3,'M',0,35,3,78.5,2.0,3.0,0,3,0,0,1,0,1,0,0,1,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Poor test scores. No Comment .'Incomplete homework.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort ."
246,74,76,2,3,1,1,21,1,30,7,'M',0,51,8,75.0,1.5,2.0,0,1,1,0,1,0,1,0,0,0,0,0,0,"'Needs to catch up with the work.'. No Comment .'Unprepared for class. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Incomplete work.'Needs to catch up with the work.'."
247,81,88,4,5,4,5,3,0,6,2,'F',0,9,2,84.5,4.0,5.0,1,6,0,0,0,0,0,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort ."
248,77,80,0,0,3,1,1,0,2,1,'M',0,3,1,78.5,1.5,0.5,2,3,0,0,1,0,0,0,0,0,0,0,0," No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Unprepared for class.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment ."
249,86,84,2,4,3,4,1,1,3,5,'F',0,4,6,85.0,2.5,4.0,1,4,0,0,0,0,1,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort ."
250,75,82,4,4,4,4,10,0,1,1,'M',0,11,1,78.5,4.0,4.0,1,3,0,0,0,0,0,0,0,2,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Incomplete homework.'Incomplete homework. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort ."
251,70,78,2,3,2,3,6,1,5,17,'F',0,11,18,74.0,2.0,3.0,0,1,1,0,1,0,0,1,2,0,0,0,0,"'Improvement noted'. No Comment .'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort .'Incomplete work. No Comment .'Unprepared for class.'Improvement noted'."
252,83,86,3,4,4,4,5,1,7,13,'F',0,12,14,84.5,3.5,4.0,0,5,0,0,0,0,0,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Can do better'.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort ."
253,79,80,3,3,3,3,2,0,4,2,'F',0,6,2,79.5,3.0,3.0,1,3,1,0,0,0,1,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Incomplete work.'Poor test scores.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort ."
254,73,64,2,3,0,0,5,1,4,20,'M',0,9,21,68.5,1.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0, No Comment . No Comment . No Comment . No Comment . No Comment . No Comment . No Comment . No Comment .
255,78,76,2,2,2,2,9,0,5,4,'F',0,14,4,77.0,2.0,2.0,0,2,1,0,0,1,2,0,0,0,0,0,0,"'Incomplete work.'Poor test scores.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Poor test scores.'Student can show more effort..'Incomplete work."
256,84,86,4,5,4,4,5,1,10,17,'F',0,15,18,85.0,4.0,4.5,1,4,0,0,0,0,0,0,0,1,0,0,0,"'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Incomplete homework.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates above average ability, motivation and attitude in this class."
257,0,0,0,0,0,0,0,0,0,0,'F',0,0,0,0.0,0.0,0.0,0,2,0,1,0,0,0,1,1,1,0,0,0,"'Improvement noted.'Demonstrates outstanding effort.'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Incomplete homework.'Improvement noted."
258,78,78,3,3,3,3,9,2,1,24,'M',0,10,26,78.0,3.0,3.0,0,4,1,0,0,0,1,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Incomplete work. No Comment .'Poor test scores.'Meets acceptable standards of cooperation, work, attitude and effort ."
259,74,80,2,2,0,0,6,11,12,18,'M',0,18,29,77.0,1.0,1.0,0,2,0,0,3,0,0,0,0,1,0,1,0,"'Incomplete homework.'Meets acceptable standards of cooperation, work, attitude and effort .'Poor class attendance.'Unprepared for class.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Unprepared for class.'Incomplete homework."
260,0,77,0,0,0,0,0,0,2,3,'M',0,2,3,38.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0, No Comment . No Comment . No Comment . No Comment . No Comment . No Comment . No Comment . No Comment .
261,78,79,3,4,2,4,2,0,1,2,'M',0,3,2,78.5,2.5,4.0,0,3,0,0,0,0,0,1,0,1,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Incomplete homework.'Needs to stop chatting with Student and focus on his work'.'Meets acceptable standards of cooperation, work, attitude and effort ."
262,76,76,4,5,4,5,14,6,9,5,'F',0,23,11,76.0,4.0,5.0,0,1,1,1,0,0,0,0,1,1,1,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates outstanding effort. No Comment .'Incomplete homework.'Incomplete work.'Improvement noted.'Meets acceptable standards of cooperation, work, attitude and effort ."
263,72,74,2,1,2,1,7,2,6,1,'M',0,13,3,73.0,2.0,1.0,1,1,0,1,0,0,1,1,0,0,0,0,0," No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities. No Comment .'Demonstrates outstanding effort.'Poor test scores.'Demonstrates above average ability, motivation and attitude in this class. No Comment ."
264,83,83,2,2,1,2,9,2,6,3,'M',0,15,5,83.0,1.5,2.0,0,5,0,0,0,0,1,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Poor test scores.'Meets acceptable standards of cooperation, work, attitude and effort ."
265,0,0,0,0,0,0,0,0,0,0,'F',0,0,0,0.0,0.0,0.0,0,3,0,1,0,0,0,2,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates outstanding effort.'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort ."
266,75,71,2,3,0,0,13,0,21,19,'M',0,34,19,73.0,1.0,1.5,0,2,0,0,1,3,0,0,0,1,0,0,0,"'Inattentiveness in class.'Inattentiveness in class.'Incomplete homework.'Inattentiveness in class. No Comment .'Unprepared for class.'Meets acceptable standards of cooperation, work, attitude and effort .'Inattentiveness in class."
267,82,88,4,4,4,4,0,0,0,1,'F',0,0,1,85.0,4.0,4.0,0,5,0,0,1,0,0,0,1,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Improvement noted.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort ."
268,0,0,0,0,0,0,0,0,0,0,'F',0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,3,0,0,0,0,0,"'Conscientious about classroom responsibilities.'Demonstrates above average ability, motivation and attitude in this class. No Comment .'Conscientious about classroom responsibilities. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities.'Conscientious about classroom responsibilities."
269,76,77,2,2,1,3,19,12,20,14,'M',0,39,26,76.5,1.5,2.5,0,4,0,0,0,1,1,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Inattentiveness in class.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort ."
270,76,80,2,3,1,4,15,9,1,14,'F',0,16,23,78.0,1.5,3.5,0,2,0,0,1,1,1,1,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Poor test scores.""Some date Student's attendance is affecting her performance. She has been absent four times in one month. As discussed at the recent meeting, she must get her work done and handed in."".'Inattentiveness in class.'Meets acceptable standards of cooperation, work, attitude and effort ."
271,70,71,1,2,1,1,11,13,6,13,'M',0,17,26,70.5,1.0,1.5,0,1,1,0,0,0,1,0,0,0,2,0,0,"'Incomplete work.'Meets acceptable standards of cooperation, work, attitude and effort .'Poor test scores.'Parent conference requested. No Comment .'Parent conference requested.'Student needs extra help both in content and time management. Tutoring is offered after school and my door is always opened to help. Please reach out to me if you have specific questions about Student to Teacher Email.us..'Incomplete work."
272,0,0,0,0,0,0,0,0,0,0,'M',0,0,0,0.0,0.0,0.0,1,4,0,1,0,0,0,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates outstanding effort.'Meets acceptable standards of cooperation, work, attitude and effort ."
273,67,73,1,3,1,2,8,5,2,24,'M',0,10,29,70.0,1.0,2.5,0,0,1,0,1,0,0,0,0,0,0,1,0,'Cell phone is an issue. '.'Poor class attendance.'Incomplete work. No Comment .'Unprepared for class. No Comment .'Can do better'.'Cell phone is an issue. '.
274,87,87,0,0,0,0,10,0,9,1,'M',0,19,1,87.0,0.0,0.0,0,5,0,1,0,0,0,1,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates outstanding effort. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort ."
275,75,82,2,1,1,2,8,6,8,0,'M',0,16,6,78.5,1.5,1.5,0,2,1,0,0,1,1,1,0,0,0,0,0,"'Conscientious about classroom responsibilities.'Poor test scores. No Comment .'Incomplete work.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Inattentiveness in class.'Conscientious about classroom responsibilities."
276,78,81,4,4,4,5,5,1,8,6,'M',0,13,7,79.5,4.0,4.5,0,3,0,1,0,1,0,0,0,1,0,0,0,"'Demonstrates outstanding effort. No Comment .'Incomplete homework. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Inattentiveness in class.'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates outstanding effort."
277,80,80,3,4,4,4,6,0,5,0,'M',0,11,0,80.0,3.5,4.0,1,3,0,2,0,0,0,0,0,0,0,0,0,"'Demonstrates outstanding effort. No Comment .'Demonstrates outstanding effort.'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates outstanding effort."
278,0,43,0,0,0,0,8,4,14,13,'M',0,22,17,21.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0, No Comment . No Comment . No Comment . No Comment . No Comment . No Comment . No Comment . No Comment .
279,84,82,3,4,1,4,5,6,8,10,'F',0,13,16,83.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0, No Comment . No Comment . No Comment . No Comment . No Comment . No Comment . No Comment . No Comment .
280,77,80,3,4,4,4,1,30,12,14,'M',0,13,44,78.5,3.5,4.0,0,2,0,0,0,1,1,0,0,1,0,0,0,"'Student needs extra help both in content and time management. He has developed a habit to talk while I am going over instructions or class notes. Tutoring is offered after school and my door is always opened to help. Please reach out to me if you have specific questions about Student to Teacher Email.us.. No Comment .'Incomplete homework.'Meets acceptable standards of cooperation, work, attitude and effort .'Poor test scores. No Comment .'Inattentiveness in class.'Student needs extra help both in content and time management. He has developed a habit to talk while I am going over instructions or class notes. Tutoring is offered after school and my door is always opened to help. Please reach out to me if you have specific questions about Student to Teacher Email.us.."
281,0,0,0,0,0,0,0,0,0,0,'M',0,0,0,0.0,0.0,0.0,0,4,0,0,0,0,1,1,0,0,0,0,1,"'Meets acceptable standards of cooperation, work, attitude and effort .'Excessive lateness.'Poor test scores. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort ."
282,0,0,0,0,0,0,0,0,0,0,'M',0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0, No Comment . No Comment . No Comment . No Comment . No Comment . No Comment . No Comment . No Comment .
283,80,82,3,4,3,3,16,3,5,6,'M',0,21,9,81.0,3.0,3.5,2,2,0,2,0,0,0,0,0,0,0,0,0,"'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates outstanding effort. No Comment .'Some date As discussed at conferences, Student is doing well and his effort is commendable. He is a joy to have in class.'.'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class."
284,0,0,0,0,0,0,0,0,0,0,'F',0,0,0,0.0,0.0,0.0,0,2,0,0,0,0,1,1,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Can do better'. No Comment .'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort ."
285,79,77,2,3,1,3,8,1,7,7,'M',0,15,8,78.0,1.5,3.0,0,3,0,1,0,0,0,2,0,0,0,0,0,"'Demonstrates outstanding effort.'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Conscientious about classroom responsibilities.'Demonstrates outstanding effort."
